iterations,fitness,time,fevals
0,22.0,0.000990690000002,721
10,22.0,0.002028501,1345
20,26.0,0.00303487,1977
30,27.0,0.004005281,2607
40,27.0,0.004733592,3228
50,26.0,0.005386056,3859
60,26.0,0.006043407,4482
70,27.0,0.006686924,5106
80,27.0,0.007350227,5731
90,28.0,0.008018725,6366
100,28.0,0.008660026,6994
110,28.0,0.009339063,7616
120,28.0,0.010094829,8246
130,30.0,0.010810023,8868
140,30.0,0.011483994,9499
150,31.0,0.012094244,10131
160,31.0,0.012758658,10758
170,31.0,0.013376091,11379
180,33.0,0.014045175,12003
190,32.0,0.014705845,12622
200,32.0,0.015454196,13250
210,32.0,0.016251222,13873
220,34.0,0.017386741,14519
230,34.0,0.018412074,15161
240,36.0,0.019138274,15783
250,35.0,0.019783738,16412
260,37.0,0.020493283,17045
270,39.0,0.021137866,17678
280,38.0,0.021896668,18308
290,38.0,0.022793425,18935
300,39.0,0.02372061,19575
310,39.0,0.024346024,20214
320,39.0,0.025118211,20854
330,40.0,0.025796519,21484
340,41.0,0.026634891,22107
350,39.0,0.027300227,22740
360,41.0,0.027929053,23377
370,39.0,0.028585907,24007
380,40.0,0.029215421,24630
390,40.0,0.029881241,25267
400,40.0,0.030586023,25886
410,43.0,0.031207548,26516
420,43.0,0.031871552,27146
430,45.0,0.032480296,27771
440,45.0,0.033124709,28404
450,45.0,0.033743605,29022
460,46.0,0.034351608,29653
470,46.0,0.03503032,30290
480,47.0,0.035684992,30917
490,46.0,0.036564461,31555
500,46.0,0.03753388,32190
510,46.0,0.03856844,32814
520,47.0,0.039601098,33437
530,46.0,0.040799184,34060
540,47.0,0.04207001,34699
550,48.0,0.043190212,35318
560,46.0,0.044057441,35943
570,46.0,0.045096543,36568
580,47.0,0.045715867,37183
590,47.0,0.046497403,37817
600,48.0,0.047171101,38434
610,47.0,0.047839739,39061
620,53.0,0.048619165,39686
630,54.0,0.049678063,40319
640,55.0,0.050499564,40957
650,55.0,0.051428377,41586
