iterations,fitness,time,fevals
0,54.0,0.000810947,642
10,57.0,0.001428635,1190
20,64.0,0.001939777,1743
30,64.0,0.002461118,2289
40,65.0,0.002952314,2840
50,61.0,0.003396129,3391
60,62.0,0.003825928,3939
70,66.0,0.00428973,4485
80,68.0,0.004709341,5026
90,68.0,0.005138998,5569
100,66.0,0.005539579,6127
110,66.0,0.005971128,6669
120,68.0,0.006437995,7221
130,67.0,0.006877893,7769
140,68.0,0.007325103,8317
150,68.0,0.007862346,8868
160,70.0,0.00836927,9422
170,70.0,0.008804456,9976
180,73.0,0.009246997,10525
190,73.0,0.009752418,11063
200,73.0,0.010238542,11609
210,73.0,0.010810109,12158
220,73.0,0.011305921,12702
230,73.0,0.011847711,13253
240,76.0,0.012403861,13799
250,76.0,0.01295862,14336
260,76.0,0.013496689,14891
270,75.0,0.014061875,15431
280,76.0,0.01457377,15985
290,76.0,0.015009226,16530
300,76.0,0.015436322,17083
310,76.0,0.015947668,17633
320,75.0,0.016373432,18180
330,75.0,0.016790678,18729
340,75.0,0.017203401,19277
350,75.0,0.017613052,19821
360,75.0,0.018057114,20376
370,72.0,0.018475136,20930
380,72.0,0.018904731,21483
390,72.0,0.019306942,22038
400,72.0,0.019716744,22593
410,72.0,0.02011862,23140
420,72.0,0.02054309,23679
430,72.0,0.020957268,24229
440,75.0,0.0214026,24770
450,75.0,0.021815912,25317
460,75.0,0.022222753,25859
470,75.0,0.02264965,26410
480,72.0,0.023080348,26958
490,72.0,0.023511393,27506
500,73.0,0.024037295,28046
510,73.0,0.024495785,28597
520,72.0,0.024984014,29150
530,72.0,0.025598804,29707
540,75.0,0.02610058,30250
550,72.0,0.026575753,30796
560,72.0,0.02711925,31352
570,75.0,0.027523358,31897
580,73.0,0.027914837,32448
590,75.0,0.028318116,33002
600,75.0,0.028717107,33542
610,75.0,0.029117387,34084
620,76.0,0.029511554,34631
630,77.0,0.029998982,35177
640,77.0,0.030429309,35727
650,76.0,0.03085255,36278
660,79.0,0.03124821,36825
670,76.0,0.031661737,37374
680,76.0,0.032140172,37924
690,76.0,0.032541318,38470
700,76.0,0.032931326,39028
710,76.0,0.0333119,39577
720,76.0,0.033688314,40121
730,76.0,0.034076831,40663
740,76.0,0.034471175,41212
750,76.0,0.034855734,41764
760,79.0,0.035252816,42312
770,79.0,0.035669418,42864
780,76.0,0.036122433,43414
790,77.0,0.036663215,43967
800,79.0,0.037384272,44515
810,82.0,0.037992003,45058
820,82.0,0.03854253,45609
830,82.0,0.039114864,46169
840,82.0,0.039654748,46717
850,82.0,0.040164947,47255
860,82.0,0.040587964,47801
870,82.0,0.041018584,48349
880,82.0,0.041452542,48894
890,82.0,0.041996904,49444
900,82.0,0.042609616,49996
910,82.0,0.043087072,50546
920,82.0,0.043576243,51101
930,82.0,0.043982419,51646
940,82.0,0.044386177,52193
950,82.0,0.04478923,52748
960,82.0,0.045210772,53301
970,82.0,0.045606996,53854
980,82.0,0.046197028,54399
990,82.0,0.046610903,54941
1000,82.0,0.047038286,55487
1010,82.0,0.047451046,56033
1020,82.0,0.047912499,56580
1030,82.0,0.048330775,57134
1040,82.0,0.048728274,57688
1050,82.0,0.049203006,58232
1060,82.0,0.049650028,58784
1070,82.0,0.050103327,59329
1080,82.0,0.050549115,59870
1090,82.0,0.050985148,60414
1100,82.0,0.051425594,60955
1110,82.0,0.051872945,61501
1120,82.0,0.052359083,62044
1130,82.0,0.052811901,62598
1140,82.0,0.053260513,63148
1150,82.0,0.053704476,63690
1160,82.0,0.054140033,64228
1170,83.0,0.054578726,64769
1180,82.0,0.055010345,65330
1190,82.0,0.055431094,65881
1200,82.0,0.055972195,66431
1210,82.0,0.056438311,66974
1220,82.0,0.056942391,67520
1230,82.0,0.057518074,68065
1240,82.0,0.057983586,68607
1250,82.0,0.058727681,69154
1260,82.0,0.059442046,69703
1270,82.0,0.060040092,70251
1280,82.0,0.060647548,70795
1290,82.0,0.061389681,71343
1300,82.0,0.062891193,71892
1310,82.0,0.064091837,72440
1320,82.0,0.064618656,72980
1330,82.0,0.065111436,73517
1340,82.0,0.065585023,74069
1350,82.0,0.066071514,74622
1360,82.0,0.066550226,75174
1370,82.0,0.067111375,75721
1380,82.0,0.067600687,76268
1390,79.0,0.06810285,76826
1400,79.0,0.06856867,77367
1410,80.0,0.069117784,77918
1420,79.0,0.0696835,78469
1430,80.0,0.070189443,79018
