iteration,MSE_trg,MSE_val,MSE_tst,acc_trg,acc_val,acc_tst,f1_trg,f1_val,f1_tst,elapsed
iteration,MSE_trg,MSE_val,MSE_tst,acc_trg,acc_val,acc_tst,f1_trg,f1_val,f1_tst,elapsed
0,0.21664745282,0.219401619622,0.209593176213,0.553089643168,0.551304347826,0.570236439499,0.0338664158043,0.0300751879699,0.0373831775701,1.230314395
10,0.216317647859,0.219399538067,0.209251383961,0.553959965187,0.549565217391,0.571627260083,0.0339302544769,0.0299625468165,0.0375,13.462276139
20,0.215534705784,0.218326926793,0.208242533489,0.554830287206,0.551304347826,0.571627260083,0.0339943342776,0.0300751879699,0.0375,24.732094706
30,0.213844167379,0.217830551718,0.205572655435,0.557006092254,0.553043478261,0.578581363004,0.032319391635,0.0228136882129,0.0380952380952,35.919237661
40,0.213226641272,0.217410188136,0.205078219139,0.558746736292,0.551304347826,0.581363004172,0.0324427480916,0.0227272727273,0.038338658147,47.179343336
50,0.213580924469,0.217915045763,0.205363991363,0.557006092254,0.549565217391,0.582753824757,0.032319391635,0.022641509434,0.0384615384615,58.349598081
60,0.209959494941,0.215573763591,0.202167039707,0.562663185379,0.551304347826,0.584144645341,0.0327237728585,0.0227272727273,0.0385852090032,69.70565996
70,0.208459060311,0.213621732319,0.201246237611,0.565709312446,0.55652173913,0.584144645341,0.0329457364341,0.0229885057471,0.0385852090032,80.969418396
80,0.207329938018,0.212974417615,0.200648273679,0.569190600522,0.55652173913,0.588317107093,0.033203125,0.0229885057471,0.038961038961,92.260141135
90,0.207267542544,0.213084896625,0.200756828973,0.570060922541,0.55652173913,0.586926286509,0.0332681017613,0.0229885057471,0.0388349514563,103.558847997
100,0.204426192033,0.210552187996,0.198023549052,0.575282854656,0.558260869565,0.59388038943,0.0336633663366,0.0230769230769,0.0394736842105,115.599009268
110,0.204466337649,0.210699731195,0.198231277481,0.575282854656,0.561739130435,0.591098748261,0.0336633663366,0.0232558139535,0.0392156862745,127.586342983
120,0.203929346303,0.2102935712,0.197743895121,0.577893820714,0.561739130435,0.592489568846,0.0338645418327,0.0232558139535,0.0393442622951,139.499561957
130,0.2008329554,0.207554713781,0.195487040299,0.5818102698,0.573913043478,0.598052851182,0.0341708542714,0.0239043824701,0.0398671096346,151.519555024
140,0.197361698722,0.205709321116,0.194259689838,0.587902523934,0.575652173913,0.599443671766,0.0346585117227,0.024,0.04,163.52017513
150,0.195917995006,0.204147306102,0.192980282056,0.59138381201,0.577391304348,0.60083449235,0.0349434737924,0.0240963855422,0.0401337792642,175.51619086
160,0.194496186368,0.202444016663,0.191864558462,0.593994778068,0.580869565217,0.60083449235,0.0351602895553,0.0242914979757,0.0401337792642,187.52079297
170,0.193645929076,0.201584135995,0.19055502016,0.597476066144,0.586086956522,0.605006954103,0.0354535974974,0.0245901639344,0.0405405405405,199.480075178
180,0.190207933519,0.198681672937,0.187733247196,0.60226283725,0.591304347826,0.605006954103,0.0338266384778,0.0248962655602,0.0405405405405,210.734358612
190,0.188376823461,0.196956202358,0.186017422584,0.607049608355,0.594782608696,0.610570236439,0.0342245989305,0.0251046025105,0.041095890411,222.093581838
200,0.18770254145,0.195921807922,0.185394109901,0.608355091384,0.593043478261,0.613351877608,0.0343347639485,0.025,0.0413793103448,233.310649423
210,0.184440820273,0.193839028756,0.182270387807,0.618363794604,0.60347826087,0.618915159944,0.0330760749724,0.025641025641,0.041958041958,244.495933416
220,0.184335764,0.193976433725,0.181998717867,0.619234116623,0.601739130435,0.620305980529,0.0331491712707,0.0255319148936,0.0421052631579,255.798397748
230,0.183231615782,0.193155095407,0.18047288557,0.62228024369,0.598260869565,0.624478442281,0.0334075723831,0.0253164556962,0.0425531914894,267.101072222
240,0.182580083969,0.192640087803,0.179984913506,0.623150565709,0.6,0.625869262865,0.0334821428571,0.0254237288136,0.0427046263345,278.291553509
250,0.180715813444,0.190916969701,0.178471373784,0.627502175805,0.60347826087,0.630041724618,0.0338600451467,0.025641025641,0.0431654676259,289.55121319
260,0.179316274943,0.190329579746,0.177111303962,0.629242819843,0.605217391304,0.631432545202,0.0340136054422,0.0257510729614,0.043321299639,300.858588946
270,0.178824082572,0.189827357693,0.176421129624,0.630113141862,0.605217391304,0.635605006954,0.0340909090909,0.0257510729614,0.043795620438,312.179028812
280,0.177846324825,0.188672052088,0.175654020362,0.63272410792,0.606956521739,0.639777468707,0.0343249427918,0.0258620689655,0.0442804428044,323.58061191
290,0.177239760524,0.188037379581,0.174768547479,0.634899912968,0.605217391304,0.641168289291,0.0345224395857,0.0257510729614,0.0444444444444,334.791142113
300,0.175988558705,0.187268820412,0.174592057053,0.636640557006,0.608695652174,0.638386648122,0.0346820809249,0.025974025974,0.0441176470588,346.035836167
310,0.175575387311,0.186593671461,0.173422494831,0.638381201044,0.608695652174,0.639777468707,0.0348432055749,0.025974025974,0.0442804428044,357.255047817
320,0.175231660063,0.186423346531,0.173293108079,0.638381201044,0.608695652174,0.641168289291,0.0348432055749,0.025974025974,0.0444444444444,368.432358292
