iteration,MSE_trg,MSE_val,MSE_tst,acc_trg,acc_val,acc_tst,f1_trg,f1_val,f1_tst,elapsed
0,0.235108220334,0.239221079123,0.247081864118,0.516100957354,0.513043478261,0.495132127955,0.0495726495726,0.0277777777778,0.0162601626016,1.212126096
10,0.235211698635,0.239110373244,0.247448421679,0.513925152306,0.513043478261,0.490959666203,0.0493617021277,0.0277777777778,0.0161290322581,13.515526966
20,0.23641266871,0.239832320211,0.247991675577,0.513489991297,0.511304347826,0.493741307371,0.0493197278912,0.0276816608997,0.0162162162162,25.869031632
30,0.235992948087,0.239842809748,0.24794682761,0.513925152306,0.513043478261,0.492350486787,0.0493617021277,0.0277777777778,0.0161725067385,38.241349905
40,0.234055876405,0.238287432524,0.246296963831,0.518711923412,0.514782608696,0.49652294854,0.0498281786942,0.0278745644599,0.0163043478261,50.500667803
50,0.233312905731,0.237951979845,0.245991502927,0.522193211488,0.513043478261,0.495132127955,0.0501730103806,0.0277777777778,0.0162601626016,62.899148512
60,0.231728470822,0.237186640095,0.244631094031,0.526109660574,0.52,0.497913769124,0.050566695728,0.0281690140845,0.0216802168022,75.250943927
70,0.231432120545,0.236634442741,0.244405129376,0.525674499565,0.52,0.497913769124,0.0505226480836,0.0281690140845,0.0216802168022,86.560688045
80,0.230462661326,0.235872125657,0.243490601016,0.527850304613,0.52,0.500695410292,0.0507436570429,0.0281690140845,0.0217983651226,97.878632364
90,0.229923741714,0.235623734653,0.243194225964,0.530026109661,0.521739130435,0.50347705146,0.0509666080844,0.0282685512367,0.0219178082192,109.125267234
100,0.229668297378,0.234758410267,0.242936936166,0.531766753699,0.52347826087,0.50347705146,0.0511463844797,0.0283687943262,0.0219178082192,120.451999082
110,0.229282754689,0.234702950013,0.242838656663,0.531331592689,0.52347826087,0.500695410292,0.0511013215859,0.0283687943262,0.0217983651226,131.676466524
120,0.228709930846,0.234306259463,0.242059138382,0.531766753699,0.525217391304,0.50347705146,0.0511463844797,0.0284697508897,0.0219178082192,142.851593567
